State,District,Confirmed,Active,Recovered,Deceased,Migrated_Other
Andaman and Nicobar Islands,Nicobars,0,0,0,0,0
Andaman and Nicobar Islands,North and Middle Andaman,1,0,1,0,0
Andaman and Nicobar Islands,South Andaman,32,0,32,0,0
Andhra Pradesh,Foreign Evacuees,188,170,18,0,0
Andhra Pradesh,Anantapur,351,172,174,5,0
Andhra Pradesh,Chittoor,327,102,221,4,0
Andhra Pradesh,East Godavari,292,143,146,3,0
Andhra Pradesh,Guntur,580,170,401,9,0
Andhra Pradesh,Krishna,607,225,358,24,0
Andhra Pradesh,Kurnool,833,192,613,28,0
Andhra Pradesh,Other State,933,557,376,0,0
Andhra Pradesh,Prakasam,95,19,76,0,0
Andhra Pradesh,S.P.S. Nellore,354,158,192,4,0
Andhra Pradesh,Srikakulam,34,23,11,0,0
Andhra Pradesh,Visakhapatnam,167,76,90,1,0
Andhra Pradesh,Vizianagaram,48,30,18,0,0
Andhra Pradesh,West Godavari,249,188,61,0,0
Andhra Pradesh,Y.S.R. Kadapa,189,75,114,0,0
Arunachal Pradesh,Anjaw,0,0,0,0,0
Arunachal Pradesh,Changlang,38,38,0,0,0
Arunachal Pradesh,East Kameng,0,0,0,0,0
Arunachal Pradesh,East Siang,2,2,0,0,0
Arunachal Pradesh,Kamle,0,0,0,0,0
Arunachal Pradesh,Kra Daadi,0,0,0,0,0
Arunachal Pradesh,Kurung Kumey,0,0,0,0,0
Arunachal Pradesh,Lepa Rada,0,0,0,0,0
Arunachal Pradesh,Lohit,2,1,1,0,0
Arunachal Pradesh,Longding,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,1,1,0,0,0
Arunachal Pradesh,Lower Siang,0,0,0,0,0
Arunachal Pradesh,Lower Subansiri,0,0,0,0,0
Arunachal Pradesh,Namsai,2,2,0,0,0
Arunachal Pradesh,Pakke Kessang,1,0,1,0,0
Arunachal Pradesh,Papum Pare,7,7,0,0,0
Arunachal Pradesh,Shi Yomi,0,0,0,0,0
Arunachal Pradesh,Siang,0,0,0,0,0
Arunachal Pradesh,Tawang,1,1,0,0,0
Arunachal Pradesh,Tirap,1,1,0,0,0
Arunachal Pradesh,Upper Dibang Valley,0,0,0,0,0
Arunachal Pradesh,Upper Siang,1,1,0,0,0
Arunachal Pradesh,Upper Subansiri,0,0,0,0,0
Arunachal Pradesh,West Kameng,0,0,0,0,0
Arunachal Pradesh,West Siang,1,1,0,0,0
Assam,Baksa,17,17,0,0,0
